# X , Y , E
1
0.019337,-nan,-nan
0.0580111,-nan,-nan
0.0966851,-nan,-nan
0.135359,-nan,-nan
0.174033,2.333e-05,8.8176e-06
0.212707,2.42935e-05,5.34239e-06
0.251381,3.03557e-05,3.84596e-06
0.290055,1.85754e-05,2.22065e-06
0.328729,2.08881e-05,1.87212e-06
0.367403,1.96895e-05,1.49902e-06
0.406077,1.98061e-05,1.33173e-06
0.444751,1.64387e-05,1.13942e-06
0.483425,1.86264e-05,1.13191e-06
0.522099,1.76314e-05,1.0646e-06
0.560773,1.82123e-05,1.08975e-06
0.599448,1.70112e-05,1.10976e-06
0.638122,1.75887e-05,1.12491e-06
0.676796,1.98273e-05,1.20643e-06
0.71547,2.2505e-05,1.35101e-06
0.754144,3.74138e-05,1.68956e-06
0.792818,8.98604e-05,2.58838e-06
0.831492,0.000232756,4.18533e-06
0.870166,0.00045466,5.98326e-06
0.90884,0.000451099,5.82255e-06
0.947514,0.000198853,3.88487e-06
0.986188,5.43455e-05,2.063e-06
1.02486,2.74189e-05,1.50736e-06
1.06354,2.39139e-05,1.48869e-06
1.10221,2.54826e-05,1.51453e-06
1.14088,2.4643e-05,1.53671e-06
1.17956,2.45494e-05,1.53259e-06
1.21823,2.41176e-05,1.57121e-06
1.25691,2.40614e-05,1.51519e-06
1.29558,2.36937e-05,1.50704e-06
1.33425,2.51687e-05,1.55491e-06
1.37293,2.89677e-05,1.61162e-06
1.4116,2.84383e-05,1.63072e-06
1.45028,2.84839e-05,1.64281e-06
1.48895,2.86754e-05,1.80661e-06
1.52762,2.76053e-05,1.83733e-06
1.5663,2.91705e-05,1.82813e-06
1.60497,3.10731e-05,1.96288e-06
1.64365,2.99882e-05,2.20213e-06
1.68232,2.44447e-05,2.93596e-06
1.72099,1.4522e-05,2.84239e-06
1.75967,2.13465e-05,2.33271e-06
1.79834,2.81622e-05,2.10081e-06
1.83702,3.28355e-05,2.12556e-06
1.87569,9.9499e-05,3.05363e-06
1.91436,0.000391744,5.52666e-06
1.95304,0.000558978,6.68254e-06
1.99171,0.000330496,5.07216e-06
2.03039,0.00012113,3.10879e-06
2.06906,3.6858e-05,1.7374e-06
2.10773,2.11784e-05,1.35082e-06
2.14641,2.27159e-05,1.40113e-06
2.18508,2.19471e-05,1.40888e-06
2.22376,2.0064e-05,1.30053e-06
2.26243,1.9565e-05,1.26116e-06
2.30111,1.99478e-05,1.23622e-06
2.33978,2.09951e-05,1.21873e-06
2.37845,1.99681e-05,1.22806e-06
2.41713,1.85011e-05,1.19361e-06
2.4558,1.98206e-05,1.25876e-06
2.49448,2.26394e-05,1.25967e-06
2.53315,1.98631e-05,1.25126e-06
2.57182,2.30853e-05,1.31298e-06
2.6105,2.00176e-05,1.27323e-06
2.64917,2.05235e-05,1.3175e-06
2.68785,2.1437e-05,1.31626e-06
2.72652,3.11659e-05,1.55904e-06
2.76519,3.41834e-05,1.59031e-06
2.80387,3.41769e-05,1.61322e-06
2.84254,2.76248e-05,1.45985e-06
2.88122,2.39126e-05,1.38423e-06
2.91989,1.93819e-05,1.27174e-06
2.95856,1.9206e-05,1.30197e-06
2.99724,2.29097e-05,1.40574e-06
3.03591,3.24943e-05,1.61243e-06
3.07459,6.54574e-05,1.99029e-06
3.11326,9.49887e-05,2.17719e-06
3.15193,9.54834e-05,2.02205e-06
3.19061,8.00675e-05,1.79194e-06
3.22928,7.57204e-05,1.70921e-06
3.26796,7.14944e-05,1.6397e-06
3.30663,6.47161e-05,1.53804e-06
3.3453,4.52267e-05,1.29104e-06
3.38398,2.89724e-05,1.09015e-06
3.42265,1.87135e-05,1.0015e-06
3.46133,1.69941e-05,1.13877e-06
3.5,2.76074e-05,1.41106e-06
3.53867,3.84651e-05,1.60097e-06
3.57735,5.11876e-05,1.67605e-06
3.61602,5.33899e-05,1.61274e-06
3.6547,4.41464e-05,1.4103e-06
3.69337,3.28847e-05,1.21608e-06
3.73204,2.3153e-05,1.05512e-06
3.77072,1.84236e-05,1.02639e-06
3.80939,1.60189e-05,9.70135e-07
3.84807,1.73043e-05,1.07728e-06
3.88674,1.4851e-05,1.04642e-06
3.92541,1.4878e-05,1.16102e-06
3.96409,1.70021e-05,1.269e-06
4.00276,2.58078e-05,1.50552e-06
4.04144,2.95606e-05,1.67282e-06
4.08011,3.61599e-05,1.82941e-06
4.11878,3.94329e-05,1.90845e-06
4.15746,2.85798e-05,1.72782e-06
4.19613,2.70064e-05,1.63341e-06
4.23481,2.48155e-05,1.54311e-06
4.27348,2.07647e-05,1.58977e-06
4.31215,1.6705e-05,1.69079e-06
4.35083,1.74946e-05,1.77357e-06
4.3895,1.8427e-05,1.84784e-06
4.42818,1.82277e-05,1.80102e-06
4.46685,3.15293e-05,1.94792e-06
4.50552,2.49007e-05,1.7294e-06
4.5442,2.57506e-05,1.69953e-06
4.58287,2.66041e-05,1.65282e-06
4.62155,2.43857e-05,1.59313e-06
4.66022,2.3762e-05,1.56606e-06
4.6989,2.5291e-05,1.53771e-06
4.73757,2.58593e-05,1.47619e-06
4.77624,2.14144e-05,1.33066e-06
4.81492,1.84449e-05,1.22122e-06
4.85359,1.5268e-05,1.0845e-06
4.89227,1.39095e-05,1.02772e-06
4.93094,1.55068e-05,1.01114e-06
4.96961,1.23677e-05,9.77692e-07
5.00829,1.48881e-05,1.02809e-06
5.04696,1.1918e-05,9.91381e-07
5.08564,1.35335e-05,1.01928e-06
5.12431,1.12673e-05,9.84182e-07
5.16298,1.13409e-05,9.97691e-07
5.20166,1.1402e-05,9.4853e-07
5.24033,1.2609e-05,9.86749e-07
5.27901,1.39113e-05,1.02295e-06
5.31768,1.49742e-05,1.04796e-06
5.35635,1.76236e-05,1.08513e-06
5.39503,1.69708e-05,1.10271e-06
5.4337,1.58029e-05,1.12487e-06
5.47238,1.48729e-05,1.14077e-06
5.51105,1.39808e-05,1.13949e-06
5.54972,1.36633e-05,1.14226e-06
5.5884,1.46377e-05,1.1695e-06
5.62707,1.01805e-05,1.03953e-06
5.66575,1.16932e-05,1.02669e-06
5.70442,8.38303e-06,9.23496e-07
5.74309,1.01027e-05,9.3191e-07
5.78177,1.35504e-05,9.93841e-07
5.82044,1.03139e-05,9.55135e-07
5.85912,1.10935e-05,1.06337e-06
5.89779,1.4375e-05,1.19144e-06
5.93646,1.13817e-05,1.20838e-06
5.97514,1.12353e-05,1.29781e-06
6.01381,1.13773e-05,1.39783e-06
6.05249,1.03676e-05,1.5263e-06
6.09116,6.47819e-06,1.53194e-06
6.12983,8.455e-06,1.73488e-06
6.16851,9.43116e-06,1.90777e-06
6.20718,3.15119e-06,1.93905e-06
6.24586,3.61906e-06,2.67675e-06
6.28453,-9.07504e-07,5.2844e-07
6.3232,-nan,-nan
6.36188,-nan,-nan
6.40055,-nan,-nan
6.43923,-nan,-nan
6.4779,-nan,-nan
6.51657,-nan,-nan
6.55525,-nan,-nan
6.59392,-nan,-nan
6.6326,-nan,-nan
6.67127,-nan,-nan
6.70994,-nan,-nan
6.74862,-nan,-nan
6.78729,-nan,-nan
6.82597,-nan,-nan
6.86464,-nan,-nan
6.90332,-nan,-nan
6.94199,-nan,-nan
6.98066,-nan,-nan
