# Filexy
# Q Intensity Error
0.36248625	143862.38660651	6791.21769138
0.36407770	148479.46073198	6729.93098116
0.36566915	150126.45837160	6687.23273960
0.36726060	150121.68624559	6661.02520364
0.36885205	149106.82779892	6627.54250693
0.37044350	147653.95638746	6576.66617101
0.37203495	146405.38009825	6532.78409361
0.37362640	145909.66706914	6598.53613899
0.37521785	146380.36779050	6664.28818436
0.37680930	147541.13772862	6626.06904650
0.37840075	148681.62997241	6565.80633278
0.37999220	148972.52224678	6537.87117870
0.38158365	147937.11996051	6532.38026000
0.38317510	145844.66716340	6524.67807237
0.38476655	143727.55307898	6512.96555309
0.38635800	142823.16877173	6500.21947767
0.38794945	143700.22262267	6479.94046235
0.38954090	145794.03522814	6459.66144702
0.39113235	147798.93080976	6504.00756273
0.39272380	148578.75866190	6556.67377503
0.39431525	147894.29454497	6549.38570845
0.39590670	146457.70644790	6509.99411136
0.39749815	145276.03961327	6493.68428915
0.39908960	144805.70944925	6509.69097076
0.40068105	144656.26647988	6520.01066058
0.40227250	144069.11295205	6504.78265462
0.40386395	142710.53036371	6489.55464865
0.40545540	141121.42449638	6464.58663130
0.40704685	140413.14825089	6439.07948296
0.40863830	141364.28934526	6416.12173747
0.41022975	143704.89035079	6394.18982323
0.41182120	146280.47472873	6372.55844741
0.41341265	147884.31005217	6351.25442705
0.41500410	147979.55426400	6340.41607610
0.41659555	146862.67123821	6361.95822039
0.41818700	145350.73264229	6383.69798046
0.41977845	144289.55081549	6425.13232250
0.42136990	144176.82015730	6466.56666454
0.42296135	145047.74728020	6460.12496339
0.42455280	146564.98260863	6439.83562453
0.42614425	148189.99321894	6428.52963596
0.42773570	149385.50873644	6424.83236211
0.42932715	149831.72399993	6417.90688089
0.43091860	149563.67794769	6403.70255000
0.43251005	148896.97692403	6390.31107201
0.43410150	148174.69361776	6387.22409044
0.43569295	147577.01924645	6384.13710886
0.43728440	147153.09915698	6352.80835012
0.43887585	146952.88518538	6316.06173185
0.44046730	147051.69164644	6338.61911789
0.44205875	147426.94185861	6399.89231314
0.44365020	147814.30098910	6423.49518395
0.44524165	147728.51791431	6383.24350564
0.44683310	146755.63480695	6347.92121758
0.44842455	144939.41987938	6343.61729221
0.45001600	142852.12185412	6339.31336684
0.45160745	141213.70400551	6348.74873293
0.45319890	140454.04972633	6359.65551740
0.45479035	140619.49040370	6341.91628979
0.45638180	141531.19789831	6310.03285846
0.45797325	142884.18934070	6284.91246828
0.45956470	144241.35988229	6268.55138632
0.46115615	145104.73422100	6262.63431352
0.46274760	145121.59803806	6297.97832198
0.46433905	144268.98575664	6333.32233045
0.46593050	142872.15114430	6368.93294182
0.46752195	141465.94298782	6404.55226707
0.46911340	140578.04478975	6360.43126106
0.47070485	140500.42220318	6287.52454989
0.47229630	141134.61678425	6271.44923693
0.47388775	142056.01963499	6311.92817232
0.47547920	142864.96847075	6337.54447678
0.47707065	143556.95297133	6322.51265415
0.47866210	144454.43161561	6305.49069911
0.48025355	145712.61503102	6232.47285984
0.48184500	147039.79895427	6159.45502057
0.48343645	148020.61854063	6199.87223938
0.48502790	148572.36235997	6268.47913979
0.48661935	148931.54561827	6316.72235533
0.48821080	149300.47590887	6349.45572794
0.48980225	149676.17048915	6352.80174710
0.49139370	149960.68897679	6297.65413277
0.49298515	150036.48724741	6253.30783485
0.49457660	149709.94080644	6304.88248423
0.49616805	148798.04933805	6356.45713360
0.49775950	147427.43588471	6292.70261441
0.49935095	146110.61451076	6211.42219555
0.50094240	145315.71147829	6197.22248139
0.50253385	145006.81833262	6221.58000064
0.50412530	144792.30968203	6242.74546409
0.50571675	144505.10789024	6259.16251005
0.50730820	144453.85955784	6272.49078479
0.50889965	145062.36427092	6270.63549048
0.51049110	146372.20586997	6268.78019618
0.51208255	147934.58656401	6252.06573597
0.51367400	149148.65155759	6234.33785160
0.51526545	149730.85381648	6203.32142872
0.51685690	149898.04939547	6166.69955291
0.51844835	150080.55171129	6139.34763243
0.52003980	150474.34343338	6122.42592809
0.52163125	150924.83716132	6117.47632071
0.52322270	151193.25719654	6150.89011700
0.52481415	151202.98221806	6184.25930251
0.52640560	151025.57989744	6209.09872495
0.52799705	150795.63671527	6233.93814739
0.52958850	150745.15195529	6228.91001987
0.53117995	151207.85135997	6215.09207491
0.53277140	152403.38205558	6202.38624156
0.53436285	154170.22647808	6190.62736240
0.53595430	155975.84114838	6177.35987093
0.53754575	157208.34430729	6160.69733159
0.53913720	157448.79487695	6088.21271012
0.54072865	156571.16037066	5329.81140003
0.54232010	154796.07892972	4571.41008994
0.54391155	152748.52814608	4448.54432502
0.54550300	151299.57801680	4444.10359827
0.54709445	151076.37750434	4435.33354629
0.54868590	152002.88590314	4423.80334623
0.55027735	153356.45732918	4422.00779181
0.55186880	154313.42817259	4436.19847400
0.55346025	154497.19431812	4447.74071467
0.55505170	154125.28498225	4443.83409224
0.55664315	153698.35146086	4439.92746980
0.55823460	153512.91810195	4432.81787354
0.55982605	153470.37228664	4425.40797441
0.56141750	153365.64270651	4421.51969777
0.56300895	153239.62504683	4419.27132276
0.56460040	153312.69855573	4414.12818823
0.56619185	153642.95405456	4405.45201809
0.56778330	154032.15434839	4399.44571718
0.56937475	154289.67375998	4402.98939510
0.57096620	154447.07813497	4406.53307302
0.57255765	154653.43687346	4401.19168566
0.57414910	154959.27398307	4395.73045542
0.57574055	155278.32672792	4384.58896529
0.57733200	155509.95429418	4371.60386918
0.57892345	155636.50983426	4381.50289175
0.58051490	155714.40885935	4412.24744991
0.58210635	155803.13307558	4421.51975232
